#    mchi[GeV]       Dm[GeV]        lambda  SigmaSI[cm2]  SigmaSI_UL[cm2]  SigmaSI_ULLZ[cm2]       rval_DD     rval_DDLZ 
   1.05000E+03   8.03850E+01   1.19000E+00   2.65000E-46      8.65000E-46        3.01433E-46   3.06358E-01   8.79135E-01 
   1.10000E+03   7.91670E+01   1.19000E+00   2.59000E-46      9.06000E-46        3.15696E-46   2.85872E-01   8.20410E-01 
   1.15000E+03   7.77470E+01   1.19000E+00   2.57000E-46      9.47000E-46        3.29959E-46   2.71383E-01   7.78886E-01 
   1.20000E+03   7.61501E+01   1.19000E+00   2.59000E-46      9.89000E-46        3.44221E-46   2.61881E-01   7.52423E-01 
   1.25000E+03   7.43698E+01   1.19000E+00   2.64000E-46      1.03000E-45        3.58906E-46   2.56311E-01   7.35568E-01 
   1.30000E+03   7.24335E+01   1.19000E+00   2.74000E-46      1.07000E-45        3.73756E-46   2.56075E-01   7.33099E-01 
   1.35000E+03   7.03346E+01   1.19000E+00   2.88000E-46      1.11000E-45        3.88605E-46   2.59459E-01   7.41112E-01 
   1.40000E+03   6.80683E+01   1.19000E+00   3.07000E-46      1.15000E-45        4.03454E-46   2.66957E-01   7.60929E-01 
   1.45000E+03   6.56588E+01   1.19000E+00   3.33000E-46      1.19000E-45        4.17391E-46   2.79832E-01   7.97813E-01 
   1.50000E+03   6.31270E+01   1.19000E+00   3.67000E-46      1.24000E-45        4.30720E-46   2.95968E-01   8.52063E-01 
   1.55000E+03   6.04662E+01   1.19000E+00   4.11000E-46      1.28000E-45        4.44048E-46   3.21094E-01   9.25576E-01 
   1.60000E+03   5.76848E+01   1.19000E+00   4.69000E-46      1.32000E-45        4.57376E-46   3.55303E-01   1.02541E+00 
   1.65000E+03   5.48258E+01   1.19000E+00   5.44000E-46      1.36000E-45        4.70705E-46   4.00000E-01   1.15571E+00 
   1.70000E+03   5.19113E+01   1.19000E+00   6.43000E-46      1.40000E-45        4.84033E-46   4.59286E-01   1.32842E+00 
   1.75000E+03   4.89597E+01   1.19000E+00   7.72000E-46      1.44000E-45        4.99015E-46   5.36111E-01   1.54705E+00 
   1.80000E+03   4.59917E+01   1.19000E+00   9.44000E-46      1.48000E-45        5.14411E-46   6.37838E-01   1.83511E+00 
   1.85000E+03   4.30194E+01   1.19000E+00   1.18000E-45      1.52000E-45        5.29806E-46   7.76316E-01   2.22723E+00 
   1.90000E+03   4.00676E+01   1.19000E+00   1.49000E-45      1.56000E-45        5.45202E-46   9.55128E-01   2.73293E+00 
   1.95000E+03   3.71734E+01   1.19000E+00   1.93000E-45      1.61000E-45        5.60597E-46   1.19876E+00   3.44276E+00 
   2.00000E+03   3.43804E+01   1.19000E+00   2.53000E-45      1.65000E-45        5.75993E-46   1.53333E+00   4.39241E+00 
   2.05000E+03   3.16972E+01   1.19000E+00   3.37000E-45      1.69000E-45        5.90588E-46   1.99408E+00   5.70617E+00 
   2.10000E+03   2.91490E+01   1.19000E+00   4.54000E-45      1.73000E-45        6.05184E-46   2.62428E+00   7.50185E+00 
   2.15000E+03   2.67521E+01   1.19000E+00   6.19000E-45      1.77000E-45        6.19779E-46   3.49718E+00   9.98743E+00 
   2.20000E+03   2.45382E+01   1.19000E+00   8.46000E-45      1.81000E-45        6.34375E-46   4.67403E+00   1.33360E+01 
   2.25000E+03   2.25005E+01   1.19000E+00   1.16000E-44      1.85000E-45        6.48970E-46   6.27027E+00   1.78745E+01 
   2.30000E+03   2.06447E+01   1.19000E+00   1.60000E-44      1.89000E-45        6.63566E-46   8.46561E+00   2.41122E+01 
   2.35000E+03   1.89553E+01   1.19000E+00   2.21000E-44      1.93000E-45        6.78161E-46   1.14508E+01   3.25881E+01 
   2.40000E+03   1.74203E+01   1.19000E+00   3.05000E-44      1.97000E-45        6.92757E-46   1.54822E+01   4.40270E+01 
   2.45000E+03   1.60283E+01   1.19000E+00   4.20000E-44      2.02000E-45        7.07352E-46   2.07921E+01   5.93764E+01 
   2.50000E+03   1.47715E+01   1.19000E+00   5.80000E-44      2.06000E-45        7.21948E-46   2.81553E+01   8.03383E+01 
   2.60000E+03   1.25959E+01   1.19000E+00   1.11000E-43      2.14000E-45        7.51138E-46   5.18692E+01   1.47776E+02 
   2.70000E+03   1.07823E+01   1.19000E+00   2.17000E-43      2.22000E-45        7.80329E-46   9.77477E+01   2.78088E+02 
   2.80000E+03   9.23630E+00   1.19000E+00   4.46000E-43      2.30000E-45        8.09520E-46   1.93913E+02   5.50944E+02 
   2.90000E+03   7.90069E+00   1.19000E+00   1.03000E-42      2.39000E-45        8.38711E-46   4.30962E+02   1.22807E+03 
   3.00000E+03   5.72926E+00   1.19000E+00   1.35000E-41      2.47000E-45        8.67902E-46   5.46559E+03   1.55548E+04 
   1.00000E+02   3.86425E+01   1.19000E+00   3.16000E-43      9.13000E-47        2.77513E-47   3.46112E+03   1.13869E+04 
   1.25000E+02   4.73334E+01   1.19000E+00   9.04000E-44      1.11000E-46        3.51588E-47   8.14414E+02   2.57119E+03 
   1.50000E+02   5.55271E+01   1.19000E+00   3.35000E-44      1.31000E-46        4.31873E-47   2.55725E+02   7.75691E+02 
   1.75000E+02   6.30438E+01   1.19000E+00   1.51000E-44      1.52000E-46        4.97704E-47   9.93421E+01   3.03393E+02 
   2.00000E+02   6.97842E+01   1.19000E+00   7.82000E-45      1.72000E-46        5.73117E-47   4.54651E+01   1.36447E+02 
   2.50000E+02   8.03855E+01   1.19000E+00   2.98000E-45      2.13000E-46        7.20152E-47   1.39906E+01   4.13802E+01 
   3.00000E+02   8.66751E+01   1.19000E+00   1.62000E-45      2.54000E-46        8.62586E-47   6.37795E+00   1.87807E+01 
   3.50000E+02   8.86560E+01   1.19000E+00   1.16000E-45      2.94000E-46        9.90191E-47   3.94558E+00   1.17149E+01 
   4.00000E+02   8.76854E+01   1.19000E+00   9.85000E-46      3.34000E-46        1.13759E-46   2.94910E+00   8.65869E+00 
   4.50000E+02   8.60508E+01   1.19000E+00   8.84000E-46      3.75000E-46        1.28995E-46   2.35733E+00   6.85297E+00 
   5.00000E+02   8.49327E+01   1.19000E+00   7.85000E-46      4.16000E-46        1.43927E-46   1.88702E+00   5.45416E+00 
   5.50000E+02   8.43588E+01   1.19000E+00   6.87000E-46      4.57000E-46        1.58947E-46   1.50328E+00   4.32220E+00 
   6.00000E+02   8.41710E+01   1.19000E+00   5.97000E-46      4.98000E-46        1.73983E-46   1.19880E+00   3.43137E+00 
   6.50000E+02   8.40950E+01   1.19000E+00   5.22000E-46      5.39000E-46        1.86126E-46   9.68460E-01   2.80455E+00 
   7.00000E+02   8.40823E+01   1.19000E+00   4.58000E-46      5.80000E-46        1.97355E-46   7.89655E-01   2.32069E+00 
   7.50000E+02   8.39868E+01   1.19000E+00   4.07000E-46      6.21000E-46        2.10639E-46   6.55395E-01   1.93222E+00 
   8.00000E+02   8.38049E+01   1.19000E+00   3.66000E-46      6.61000E-46        2.24890E-46   5.53707E-01   1.62746E+00 
   8.50000E+02   8.34569E+01   1.19000E+00   3.34000E-46      7.02000E-46        2.39141E-46   4.75783E-01   1.39667E+00 
   9.00000E+02   8.29631E+01   1.19000E+00   3.08000E-46      7.43000E-46        2.54766E-46   4.14536E-01   1.20895E+00 
   9.50000E+02   8.22800E+01   1.19000E+00   2.89000E-46      7.83000E-46        2.70824E-46   3.69093E-01   1.06711E+00 
   1.00000E+03   8.14288E+01   1.19000E+00   2.75000E-46      8.24000E-46        2.86883E-46   3.33738E-01   9.58580E-01 
   1.05000E+03   8.03850E+01   1.19000E+00   2.65000E-46      8.65000E-46        3.01433E-46   3.06358E-01   8.79135E-01 
   1.10000E+03   7.91670E+01   1.19000E+00   2.59000E-46      9.06000E-46        3.15696E-46   2.85872E-01   8.20410E-01 
   1.15000E+03   7.77470E+01   1.19000E+00   2.57000E-46      9.47000E-46        3.29959E-46   2.71383E-01   7.78886E-01 
   1.20000E+03   7.61501E+01   1.19000E+00   2.59000E-46      9.89000E-46        3.44221E-46   2.61881E-01   7.52423E-01 
   1.25000E+03   7.43698E+01   1.19000E+00   2.64000E-46      1.03000E-45        3.58906E-46   2.56311E-01   7.35568E-01 
   1.30000E+03   7.24335E+01   1.19000E+00   2.74000E-46      1.07000E-45        3.73756E-46   2.56075E-01   7.33099E-01 
   1.35000E+03   7.03346E+01   1.19000E+00   2.88000E-46      1.11000E-45        3.88605E-46   2.59459E-01   7.41112E-01 
   1.40000E+03   6.80683E+01   1.19000E+00   3.07000E-46      1.15000E-45        4.03454E-46   2.66957E-01   7.60929E-01 
   1.45000E+03   6.56588E+01   1.19000E+00   3.33000E-46      1.19000E-45        4.17391E-46   2.79832E-01   7.97813E-01 
   1.50000E+03   6.31270E+01   1.19000E+00   3.67000E-46      1.24000E-45        4.30720E-46   2.95968E-01   8.52063E-01 
   1.55000E+03   6.04662E+01   1.19000E+00   4.11000E-46      1.28000E-45        4.44048E-46   3.21094E-01   9.25576E-01 
   1.60000E+03   5.76848E+01   1.19000E+00   4.69000E-46      1.32000E-45        4.57376E-46   3.55303E-01   1.02541E+00 
   1.65000E+03   5.48258E+01   1.19000E+00   5.44000E-46      1.36000E-45        4.70705E-46   4.00000E-01   1.15571E+00 
   1.70000E+03   5.19113E+01   1.19000E+00   6.43000E-46      1.40000E-45        4.84033E-46   4.59286E-01   1.32842E+00 
   1.75000E+03   4.89597E+01   1.19000E+00   7.72000E-46      1.44000E-45        4.99015E-46   5.36111E-01   1.54705E+00 
   1.80000E+03   4.59917E+01   1.19000E+00   9.44000E-46      1.48000E-45        5.14411E-46   6.37838E-01   1.83511E+00 
   1.85000E+03   4.30194E+01   1.19000E+00   1.18000E-45      1.52000E-45        5.29806E-46   7.76316E-01   2.22723E+00 
   1.90000E+03   4.00676E+01   1.19000E+00   1.49000E-45      1.56000E-45        5.45202E-46   9.55128E-01   2.73293E+00 
   1.95000E+03   3.71734E+01   1.19000E+00   1.93000E-45      1.61000E-45        5.60597E-46   1.19876E+00   3.44276E+00 
   2.00000E+03   3.43804E+01   1.19000E+00   2.53000E-45      1.65000E-45        5.75993E-46   1.53333E+00   4.39241E+00 
   2.05000E+03   3.16972E+01   1.19000E+00   3.37000E-45      1.69000E-45        5.90588E-46   1.99408E+00   5.70617E+00 
   2.10000E+03   2.91490E+01   1.19000E+00   4.54000E-45      1.73000E-45        6.05184E-46   2.62428E+00   7.50185E+00 
   2.15000E+03   2.67521E+01   1.19000E+00   6.19000E-45      1.77000E-45        6.19779E-46   3.49718E+00   9.98743E+00 
   2.20000E+03   2.45382E+01   1.19000E+00   8.46000E-45      1.81000E-45        6.34375E-46   4.67403E+00   1.33360E+01 
   2.25000E+03   2.25005E+01   1.19000E+00   1.16000E-44      1.85000E-45        6.48970E-46   6.27027E+00   1.78745E+01 
   2.30000E+03   2.06447E+01   1.19000E+00   1.60000E-44      1.89000E-45        6.63566E-46   8.46561E+00   2.41122E+01 
   2.35000E+03   1.89553E+01   1.19000E+00   2.21000E-44      1.93000E-45        6.78161E-46   1.14508E+01   3.25881E+01 
   2.40000E+03   1.74203E+01   1.19000E+00   3.05000E-44      1.97000E-45        6.92757E-46   1.54822E+01   4.40270E+01 
   2.45000E+03   1.60283E+01   1.19000E+00   4.20000E-44      2.02000E-45        7.07352E-46   2.07921E+01   5.93764E+01 
   2.50000E+03   1.47715E+01   1.19000E+00   5.80000E-44      2.06000E-45        7.21948E-46   2.81553E+01   8.03383E+01 
   2.60000E+03   1.25959E+01   1.19000E+00   1.11000E-43      2.14000E-45        7.51138E-46   5.18692E+01   1.47776E+02 
   2.70000E+03   1.07823E+01   1.19000E+00   2.17000E-43      2.22000E-45        7.80329E-46   9.77477E+01   2.78088E+02 
   2.80000E+03   9.23630E+00   1.19000E+00   4.46000E-43      2.30000E-45        8.09520E-46   1.93913E+02   5.50944E+02 
   2.90000E+03   7.90069E+00   1.19000E+00   1.03000E-42      2.39000E-45        8.38711E-46   4.30962E+02   1.22807E+03 
   3.00000E+03   6.92759E+00   1.19000E+00   2.32000E-42      2.47000E-45        8.67902E-46   9.39271E+02   2.67311E+03 
   1.00000E+02   3.88719E+01   1.29756E+00   4.34000E-43      9.13000E-47        2.77513E-47   4.75356E+03   1.56389E+04 
   1.25000E+02   4.77681E+01   1.29756E+00   1.22000E-43      1.11000E-46        3.51588E-47   1.09910E+03   3.46997E+03 
   1.50000E+02   5.63283E+01   1.29756E+00   4.43000E-44      1.31000E-46        4.31873E-47   3.38168E+02   1.02576E+03 
   1.75000E+02   6.44238E+01   1.29756E+00   1.92000E-44      1.52000E-46        4.97704E-47   1.26316E+02   3.85772E+02 
   2.00000E+02   7.20094E+01   1.29756E+00   9.56000E-45      1.72000E-46        5.73117E-47   5.55814E+01   1.66807E+02 
   2.50000E+02   8.52260E+01   1.29756E+00   3.22000E-45      2.13000E-46        7.20152E-47   1.51174E+01   4.47128E+01 
   3.00000E+02   9.53145E+01   1.29756E+00   1.49000E-45      2.54000E-46        8.62586E-47   5.86614E+00   1.72736E+01 
   3.50000E+02   1.01692E+02   1.29756E+00   8.84000E-46      2.94000E-46        9.90191E-47   3.00680E+00   8.92757E+00 
   4.00000E+02   1.04133E+02   1.29756E+00   6.50000E-46      3.34000E-46        1.13759E-46   1.94611E+00   5.71386E+00 
   4.50000E+02   1.03520E+02   1.29756E+00   5.55000E-46      3.75000E-46        1.28995E-46   1.48000E+00   4.30249E+00 
   5.00000E+02   1.01401E+02   1.29756E+00   5.13000E-46      4.16000E-46        1.43927E-46   1.23317E+00   3.56431E+00 
   5.50000E+02   9.91076E+01   1.29756E+00   4.85000E-46      4.57000E-46        1.58947E-46   1.06127E+00   3.05134E+00 
   6.00000E+02   9.73773E+01   1.29756E+00   4.52000E-46      4.98000E-46        1.73983E-46   9.07631E-01   2.59795E+00 
   6.50000E+02   9.61335E+01   1.29756E+00   4.16000E-46      5.39000E-46        1.86126E-46   7.71800E-01   2.23505E+00 
   7.00000E+02   9.53140E+01   1.29756E+00   3.80000E-46      5.80000E-46        1.97355E-46   6.55172E-01   1.92547E+00 
   7.50000E+02   9.46413E+01   1.29756E+00   3.47000E-46      6.21000E-46        2.10639E-46   5.58776E-01   1.64737E+00 
   8.00000E+02   9.40668E+01   1.29756E+00   3.18000E-46      6.61000E-46        2.24890E-46   4.81089E-01   1.41403E+00 
   8.50000E+02   9.34427E+01   1.29756E+00   2.93000E-46      7.02000E-46        2.39141E-46   4.17379E-01   1.22522E+00 
   9.00000E+02   9.27684E+01   1.29756E+00   2.73000E-46      7.43000E-46        2.54766E-46   3.67429E-01   1.07157E+00 
   9.50000E+02   9.19599E+01   1.29756E+00   2.57000E-46      7.83000E-46        2.70824E-46   3.28225E-01   9.48956E-01 
   1.00000E+03   9.10357E+01   1.29756E+00   2.44000E-46      8.24000E-46        2.86883E-46   2.96117E-01   8.50522E-01 
   1.05000E+03   8.99542E+01   1.29756E+00   2.35000E-46      8.65000E-46        3.01433E-46   2.71676E-01   7.79610E-01 
   1.10000E+03   8.87285E+01   1.29756E+00   2.28000E-46      9.06000E-46        3.15696E-46   2.51656E-01   7.22215E-01 
   1.15000E+03   8.73189E+01   1.29756E+00   2.24000E-46      9.47000E-46        3.29959E-46   2.36536E-01   6.78873E-01 
   1.20000E+03   8.57487E+01   1.29756E+00   2.24000E-46      9.89000E-46        3.44221E-46   2.26491E-01   6.50744E-01 
   1.25000E+03   8.39950E+01   1.29756E+00   2.26000E-46      1.03000E-45        3.58906E-46   2.19417E-01   6.29691E-01 
   1.30000E+03   8.20815E+01   1.29756E+00   2.31000E-46      1.07000E-45        3.73756E-46   2.15888E-01   6.18051E-01 
   1.35000E+03   8.00002E+01   1.29756E+00   2.39000E-46      1.11000E-45        3.88605E-46   2.15315E-01   6.15020E-01 
   1.40000E+03   7.77379E+01   1.29756E+00   2.51000E-46      1.15000E-45        4.03454E-46   2.18261E-01   6.22127E-01 
   1.45000E+03   7.53075E+01   1.29756E+00   2.68000E-46      1.19000E-45        4.17391E-46   2.25210E-01   6.42084E-01 
   1.50000E+03   7.27343E+01   1.29756E+00   2.90000E-46      1.24000E-45        4.30720E-46   2.33871E-01   6.73292E-01 
   1.55000E+03   7.00079E+01   1.29756E+00   3.19000E-46      1.28000E-45        4.44048E-46   2.49219E-01   7.18391E-01 
   1.60000E+03   6.71286E+01   1.29756E+00   3.56000E-46      1.32000E-45        4.57376E-46   2.69697E-01   7.78352E-01 
   1.65000E+03   6.41381E+01   1.29756E+00   4.05000E-46      1.36000E-45        4.70705E-46   2.97794E-01   8.60412E-01 
   1.70000E+03   6.10513E+01   1.29756E+00   4.68000E-46      1.40000E-45        4.84033E-46   3.34286E-01   9.66876E-01 
   1.75000E+03   5.78774E+01   1.29756E+00   5.50000E-46      1.44000E-45        4.99015E-46   3.81944E-01   1.10217E+00 
   1.80000E+03   5.46401E+01   1.29756E+00   6.59000E-46      1.48000E-45        5.14411E-46   4.45270E-01   1.28108E+00 
   1.85000E+03   5.13509E+01   1.29756E+00   8.06000E-46      1.52000E-45        5.29806E-46   5.30263E-01   1.52131E+00 
   1.90000E+03   4.80343E+01   1.29756E+00   1.01000E-45      1.56000E-45        5.45202E-46   6.47436E-01   1.85252E+00 
   1.95000E+03   4.47285E+01   1.29756E+00   1.28000E-45      1.61000E-45        5.60597E-46   7.95031E-01   2.28328E+00 
   2.00000E+03   4.14669E+01   1.29756E+00   1.66000E-45      1.65000E-45        5.75993E-46   1.00606E+00   2.88198E+00 
   2.05000E+03   3.82800E+01   1.29756E+00   2.19000E-45      1.69000E-45        5.90588E-46   1.29586E+00   3.70817E+00 
   2.10000E+03   3.52003E+01   1.29756E+00   2.95000E-45      1.73000E-45        6.05184E-46   1.70520E+00   4.87455E+00 
   2.15000E+03   3.22517E+01   1.29756E+00   4.04000E-45      1.77000E-45        6.19779E-46   2.28249E+00   6.51845E+00 
   2.20000E+03   2.94858E+01   1.29756E+00   5.58000E-45      1.81000E-45        6.34375E-46   3.08287E+00   8.79606E+00 
   2.25000E+03   2.69131E+01   1.29756E+00   7.80000E-45      1.85000E-45        6.48970E-46   4.21622E+00   1.20190E+01 
   2.30000E+03   2.45475E+01   1.29756E+00   1.09000E-44      1.89000E-45        6.63566E-46   5.76720E+00   1.64264E+01 
   2.35000E+03   2.23848E+01   1.29756E+00   1.54000E-44      1.93000E-45        6.78161E-46   7.97927E+00   2.27085E+01 
   2.40000E+03   2.04270E+01   1.29756E+00   2.18000E-44      1.97000E-45        6.92757E-46   1.10660E+01   3.14685E+01 
   2.45000E+03   1.86574E+01   1.29756E+00   3.08000E-44      2.02000E-45        7.07352E-46   1.52475E+01   4.35427E+01 
   2.50000E+03   1.70729E+01   1.29756E+00   4.34000E-44      2.06000E-45        7.21948E-46   2.10680E+01   6.01152E+01 
   2.60000E+03   1.43755E+01   1.29756E+00   8.55000E-44      2.14000E-45        7.51138E-46   3.99533E+01   1.13827E+02 
   2.70000E+03   1.21808E+01   1.29756E+00   1.70000E-43      2.22000E-45        7.80329E-46   7.65766E+01   2.17857E+02 
   2.80000E+03   1.03587E+01   1.29756E+00   3.47000E-43      2.30000E-45        8.09520E-46   1.50870E+02   4.28649E+02 
   2.90000E+03   8.81379E+00   1.29756E+00   7.64000E-43      2.39000E-45        8.38711E-46   3.19665E+02   9.10922E+02 
   3.00000E+03   7.48034E+00   1.29756E+00   1.92000E-42      2.47000E-45        8.67902E-46   7.77328E+02   2.21223E+03 
   1.00000E+02   3.90184E+01   1.41484E+00   6.03000E-43      9.13000E-47        2.77513E-47   6.60460E+03   2.17287E+04 
   1.25000E+02   4.80655E+01   1.41484E+00   1.68000E-43      1.11000E-46        3.51588E-47   1.51351E+03   4.77832E+03 
   1.50000E+02   5.68661E+01   1.41484E+00   5.99000E-44      1.31000E-46        4.31873E-47   4.57252E+02   1.38698E+03 
   1.75000E+02   6.53376E+01   1.41484E+00   2.55000E-44      1.52000E-46        4.97704E-47   1.67763E+02   5.12353E+02 
   2.00000E+02   7.34677E+01   1.41484E+00   1.23000E-44      1.72000E-46        5.73117E-47   7.15116E+01   2.14616E+02 
   2.50000E+02   8.84415E+01   1.41484E+00   3.84000E-45      2.13000E-46        7.20152E-47   1.80282E+01   5.33221E+01 
   3.00000E+02   1.01279E+02   1.41484E+00   1.59000E-45      2.54000E-46        8.62586E-47   6.25984E+00   1.84329E+01 
   3.50000E+02   1.11208E+02   1.41484E+00   8.33000E-46      2.94000E-46        9.90191E-47   2.83333E+00   8.41252E+00 
   4.00000E+02   1.18077E+02   1.41484E+00   5.22000E-46      3.34000E-46        1.13759E-46   1.56287E+00   4.58867E+00 
   4.50000E+02   1.21716E+02   1.41484E+00   3.81000E-46      3.75000E-46        1.28995E-46   1.01600E+00   2.95360E+00 
   5.00000E+02   1.22250E+02   1.41484E+00   3.18000E-46      4.16000E-46        1.43927E-46   7.64423E-01   2.20945E+00 
   5.50000E+02   1.20365E+02   1.41484E+00   2.93000E-46      4.57000E-46        1.58947E-46   6.41138E-01   1.84339E+00 
   6.00000E+02   1.17406E+02   1.41484E+00   2.84000E-46      4.98000E-46        1.73983E-46   5.70281E-01   1.63234E+00 
   6.50000E+02   1.14344E+02   1.41484E+00   2.79000E-46      5.39000E-46        1.86126E-46   5.17625E-01   1.49899E+00 
   7.00000E+02   1.11886E+02   1.41484E+00   2.70000E-46      5.80000E-46        1.97355E-46   4.65517E-01   1.36809E+00 
   7.50000E+02   1.09887E+02   1.41484E+00   2.59000E-46      6.21000E-46        2.10639E-46   4.17069E-01   1.22959E+00 
   8.00000E+02   1.08329E+02   1.41484E+00   2.46000E-46      6.61000E-46        2.24890E-46   3.72163E-01   1.09387E+00 
   8.50000E+02   1.06963E+02   1.41484E+00   2.34000E-46      7.02000E-46        2.39141E-46   3.33333E-01   9.78503E-01 
   9.00000E+02   1.05757E+02   1.41484E+00   2.22000E-46      7.43000E-46        2.54766E-46   2.98789E-01   8.71390E-01 
   9.50000E+02   1.04548E+02   1.41484E+00   2.11000E-46      7.83000E-46        2.70824E-46   2.69476E-01   7.79104E-01 
   1.00000E+03   1.03345E+02   1.41484E+00   2.03000E-46      8.24000E-46        2.86883E-46   2.46359E-01   7.07606E-01 
   1.05000E+03   1.02073E+02   1.41484E+00   1.95000E-46      8.65000E-46        3.01433E-46   2.25434E-01   6.46910E-01 
   1.10000E+03   1.00722E+02   1.41484E+00   1.90000E-46      9.06000E-46        3.15696E-46   2.09713E-01   6.01845E-01 
   1.15000E+03   9.92161E+01   1.41484E+00   1.86000E-46      9.47000E-46        3.29959E-46   1.96410E-01   5.63707E-01 
   1.20000E+03   9.75762E+01   1.41484E+00   1.85000E-46      9.89000E-46        3.44221E-46   1.87058E-01   5.37445E-01 
   1.25000E+03   9.57840E+01   1.41484E+00   1.85000E-46      1.03000E-45        3.58906E-46   1.79612E-01   5.15455E-01 
   1.30000E+03   9.38499E+01   1.41484E+00   1.87000E-46      1.07000E-45        3.73756E-46   1.74766E-01   5.00327E-01 
   1.35000E+03   9.17474E+01   1.41484E+00   1.92000E-46      1.11000E-45        3.88605E-46   1.72973E-01   4.94075E-01 
   1.40000E+03   8.94933E+01   1.41484E+00   1.99000E-46      1.15000E-45        4.03454E-46   1.73043E-01   4.93241E-01 
   1.45000E+03   8.70708E+01   1.41484E+00   2.08000E-46      1.19000E-45        4.17391E-46   1.74790E-01   4.98334E-01 
   1.50000E+03   8.44940E+01   1.41484E+00   2.21000E-46      1.24000E-45        4.30720E-46   1.78226E-01   5.13095E-01 
   1.55000E+03   8.17523E+01   1.41484E+00   2.38000E-46      1.28000E-45        4.44048E-46   1.85938E-01   5.35978E-01 
   1.60000E+03   7.88534E+01   1.41484E+00   2.60000E-46      1.32000E-45        4.57376E-46   1.96970E-01   5.68460E-01 
   1.65000E+03   7.57905E+01   1.41484E+00   2.88000E-46      1.36000E-45        4.70705E-46   2.11765E-01   6.11848E-01 
   1.70000E+03   7.25997E+01   1.41484E+00   3.25000E-46      1.40000E-45        4.84033E-46   2.32143E-01   6.71441E-01 
   1.75000E+03   6.92990E+01   1.41484E+00   3.72000E-46      1.44000E-45        4.99015E-46   2.58333E-01   7.45468E-01 
   1.80000E+03   6.58715E+01   1.41484E+00   4.34000E-46      1.48000E-45        5.14411E-46   2.93243E-01   8.43683E-01 
   1.85000E+03   6.23360E+01   1.41484E+00   5.15000E-46      1.52000E-45        5.29806E-46   3.38816E-01   9.72053E-01 
   1.90000E+03   5.87193E+01   1.41484E+00   6.25000E-46      1.56000E-45        5.45202E-46   4.00641E-01   1.14636E+00 
   1.95000E+03   5.50366E+01   1.41484E+00   7.74000E-46      1.61000E-45        5.60597E-46   4.80745E-01   1.38067E+00 
   2.00000E+03   5.13467E+01   1.41484E+00   9.79000E-46      1.65000E-45        5.75993E-46   5.93333E-01   1.69967E+00 
   2.05000E+03   4.76575E+01   1.41484E+00   1.26000E-45      1.69000E-45        5.90588E-46   7.45562E-01   2.13347E+00 
   2.10000E+03   4.40016E+01   1.41484E+00   1.67000E-45      1.73000E-45        6.05184E-46   9.65318E-01   2.75949E+00 
   2.15000E+03   4.04278E+01   1.41484E+00   2.26000E-45      1.77000E-45        6.19779E-46   1.27684E+00   3.64646E+00 
   2.20000E+03   3.69771E+01   1.41484E+00   3.11000E-45      1.81000E-45        6.34375E-46   1.71823E+00   4.90246E+00 
   2.25000E+03   3.36942E+01   1.41484E+00   4.36000E-45      1.85000E-45        6.48970E-46   2.35676E+00   6.71834E+00 
   2.30000E+03   3.06127E+01   1.41484E+00   6.20000E-45      1.89000E-45        6.63566E-46   3.28042E+00   9.34346E+00 
   2.35000E+03   2.77537E+01   1.41484E+00   8.91000E-45      1.93000E-45        6.78161E-46   4.61658E+00   1.31385E+01 
   2.40000E+03   2.51371E+01   1.41484E+00   1.29000E-44      1.97000E-45        6.92757E-46   6.54822E+00   1.86213E+01 
   2.45000E+03   2.27633E+01   1.41484E+00   1.87000E-44      2.02000E-45        7.07352E-46   9.25743E+00   2.64366E+01 
   2.50000E+03   2.06440E+01   1.41484E+00   2.72000E-44      2.06000E-45        7.21948E-46   1.32039E+01   3.76759E+01 
   2.60000E+03   1.70691E+01   1.41484E+00   5.67000E-44      2.14000E-45        7.51138E-46   2.64953E+01   7.54854E+01 
   2.70000E+03   1.42426E+01   1.41484E+00   1.17000E-43      2.22000E-45        7.80329E-46   5.27027E+01   1.49937E+02 
   2.80000E+03   1.19686E+01   1.41484E+00   2.43000E-43      2.30000E-45        8.09520E-46   1.05652E+02   3.00178E+02 
   2.90000E+03   1.00992E+01   1.41484E+00   5.21000E-43      2.39000E-45        8.38711E-46   2.17992E+02   6.21191E+02 
   3.00000E+03   8.52185E+00   1.41484E+00   1.22000E-42      2.47000E-45        8.67902E-46   4.93927E+02   1.40569E+03 
   1.00000E+02   3.90928E+01   1.50000E+00   7.55000E-43      9.13000E-47        2.77513E-47   8.26944E+03   2.72060E+04 
   1.25000E+02   4.82139E+01   1.50000E+00   2.09000E-43      1.11000E-46        3.51588E-47   1.88288E+03   5.94446E+03 
   1.50000E+02   5.71297E+01   1.50000E+00   7.41000E-44      1.31000E-46        4.31873E-47   5.65649E+02   1.71578E+03 
   1.75000E+02   6.57781E+01   1.50000E+00   3.12000E-44      1.52000E-46        4.97704E-47   2.05263E+02   6.26879E+02 
   2.00000E+02   7.41606E+01   1.50000E+00   1.49000E-44      1.72000E-46        5.73117E-47   8.66279E+01   2.59982E+02 
   2.50000E+02   8.99484E+01   1.50000E+00   4.48000E-45      2.13000E-46        7.20152E-47   2.10329E+01   6.22091E+01 
   3.00000E+02   1.04080E+02   1.50000E+00   1.78000E-45      2.54000E-46        8.62586E-47   7.00787E+00   2.06356E+01 
